INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,Latitude,Longitude
308408221,06/20/2025,19:06:00,QUEENS,OUTSIDE,104,0,STREET,25-44,M,BLACK,0.0,0.0
306062049,05/08/2025,00:25:00,BRONX,OUTSIDE,47,2,HOUSING,25-44,M,WHITE HISPANIC,40.883065,-73.833249
312202110,09/01/2025,19:34:00,BRONX,OUTSIDE,49,0,STREET,18-24,M,BLACK,40.865427,-73.867866
312957372,09/15/2025,17:32:00,MANHATTAN,OUTSIDE,25,0,STREET,<18,M,BLACK,40.80169,-73.934282
311949658,08/26/2025,15:30:00,BRONX,OUTSIDE,48,0,STREET,25-44,M,BLACK,40.852399,-73.889217
311757222,08/23/2025,19:27:00,BRONX,OUTSIDE,47,0,PLAYGROUND,<18,F,BLACK,40.87413587,-73.84086067
301565779,02/23/2025,23:41:00,BRONX,INSIDE,43,0,DWELLING,45-64,F,WHITE HISPANIC,40.840191,-73.85397
312521185,09/07/2025,19:15:00,BRONX,OUTSIDE,42,0,STREET,18-24,M,WHITE HISPANIC,40.822195,-73.908444
307528851,06/04/2025,02:52:00,BROOKLYN,OUTSIDE,71,0,STREET,25-44,M,BLACK,40.65766,-73.960336
305412877,04/27/2025,07:11:00,QUEENS,OUTSIDE,109,0,STREET,25-44,M,BLACK,40.764795,-73.811476
312482077,09/06/2025,06:48:00,BRONX,OUTSIDE,43,2,HOUSING,18-24,M,BLACK,40.826323,-73.867954
305034043,04/20/2025,01:57:00,BROOKLYN,OUTSIDE,81,2,HOUSING,18-24,F,BLACK,40.688406,-73.931642
312764904,09/11/2025,23:53:00,BROOKLYN,OUTSIDE,79,2,HOUSING,25-44,M,BLACK,40.688215,-73.946331
303829750,03/28/2025,23:50:00,MANHATTAN,OUTSIDE,32,2,HOUSING,25-44,M,BLACK HISPANIC,40.820614,-73.94355
308047666,06/13/2025,19:45:00,BRONX,OUTSIDE,47,0,STREET,25-44,M,BLACK,40.888511,-73.831296
302842116,03/14/2025,15:50:00,BROOKLYN,OUTSIDE,76,1,TRANSIT,25-44,M,BLACK,40.67696,-74.005629
299948481,01/23/2025,22:10:00,BROOKLYN,OUTSIDE,75,0,STREET,25-44,M,BLACK,40.660892,-73.892377
305364227,04/25/2025,21:20:00,BRONX,OUTSIDE,40,2,HOUSING,25-44,F,BLACK,40.816093,-73.908485
309605578,07/14/2025,16:20:00,BRONX,OUTSIDE,44,0,STREET,25-44,M,BLACK,40.839104,-73.924416
307729376,06/07/2025,21:49:00,BRONX,OUTSIDE,52,0,STREET,18-24,M,BLACK,40.867584,-73.897975
308965098,07/02/2025,02:50:00,MANHATTAN,OUTSIDE,32,0,STREET,45-64,M,BLACK,40.808017,-73.952753
307841555,06/10/2025,02:37:00,MANHATTAN,OUTSIDE,33,0,STREET,25-44,M,BLACK,40.843916,-73.933965
302197815,03/06/2025,16:50:00,BROOKLYN,OUTSIDE,63,0,STREET,25-44,M,BLACK,40.631196,-73.919982
299470064,01/15/2025,01:00:00,MANHATTAN,OUTSIDE,34,0,STREET,25-44,M,WHITE HISPANIC,40.86779354,-73.92998844
305036739,04/20/2025,06:35:00,BRONX,OUTSIDE,44,0,STREET,18-24,M,WHITE HISPANIC,0.0,0.0
